iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AIA,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:36.171405,
AIA,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:36.171412,
AIA,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.171395,
AIA,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:36.328685,
AIA,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.328675,
AIA,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:36.3287,
AIA,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:36.328708,
AIA,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.328692,
AIA,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:36.498694,
AIA,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.498684,
AIA,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:36.49871,
AIA,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:36.498717,
AIA,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.498701,
AIA,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:36.659973,
AIA,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.659963,
AIA,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:36.659989,
AIA,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:36.659996,
AIA,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.65998,
AIA,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:36.812579,
AIA,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.81257,
AIA,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:36.812595,
AIA,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:36.812602,
AIA,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.812586,
AIA,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:36.96731,
AIA,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.967301,
AIA,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:36.967326,
